Command Line:
 ./sim_bp gshare 7 4 0 0 traces/trace_jpeg.txt

Final GShare Table Contents:
table[0]: 0
table[1]: 0
table[2]: 3
table[3]: 3
table[4]: 0
table[5]: 0
table[6]: 0
table[7]: 3
table[8]: 3
table[9]: 3
table[10]: 2
table[11]: 2
table[12]: 1
table[13]: 3
table[14]: 3
table[15]: 3
table[16]: 3
table[17]: 2
table[18]: 3
table[19]: 3
table[20]: 0
table[21]: 0
table[22]: 1
table[23]: 3
table[24]: 3
table[25]: 2
table[26]: 3
table[27]: 3
table[28]: 0
table[29]: 1
table[30]: 0
table[31]: 2
table[32]: 3
table[33]: 3
table[34]: 3
table[35]: 0
table[36]: 2
table[37]: 3
table[38]: 0
table[39]: 3
table[40]: 3
table[41]: 0
table[42]: 3
table[43]: 0
table[44]: 0
table[45]: 3
table[46]: 3
table[47]: 0
table[48]: 0
table[49]: 0
table[50]: 0
table[51]: 0
table[52]: 0
table[53]: 0
table[54]: 2
table[55]: 2
table[56]: 3
table[57]: 2
table[58]: 0
table[59]: 1
table[60]: 0
table[61]: 3
table[62]: 3
table[63]: 1
table[64]: 3
table[65]: 0
table[66]: 0
table[67]: 3
table[68]: 2
table[69]: 0
table[70]: 3
table[71]: 1
table[72]: 3
table[73]: 3
table[74]: 3
table[75]: 0
table[76]: 0
table[77]: 0
table[78]: 3
table[79]: 3
table[80]: 2
table[81]: 3
table[82]: 0
table[83]: 3
table[84]: 1
table[85]: 0
table[86]: 0
table[87]: 0
table[88]: 3
table[89]: 3
table[90]: 0
table[91]: 3
table[92]: 2
table[93]: 3
table[94]: 0
table[95]: 1
table[96]: 3
table[97]: 0
table[98]: 2
table[99]: 3
table[100]: 1
table[101]: 3
table[102]: 0
table[103]: 3
table[104]: 2
table[105]: 0
table[106]: 0
table[107]: 0
table[108]: 2
table[109]: 3
table[110]: 0
table[111]: 3
table[112]: 2
table[113]: 0
table[114]: 3
table[115]: 2
table[116]: 0
table[117]: 3
table[118]: 3
table[119]: 3
table[120]: 3
table[121]: 0
table[122]: 0
table[123]: 3
table[124]: 1
table[125]: 3
table[126]: 3
table[127]: 2

Final GHR Contents: 0x       6

Final Branch Predictor Statistics:
a. Number of branches: 2000000
b. Number of predictions from the branch predictor: 2000000
c. Number of mispredictions from the branch predictor: 178396
d. Number of mispredictions from the BTB: 0
e. Misprediction Rate: 8.92 percent
